simulator-1  | 2026-03-24 15:49:58,521 [INFO] simulator.main: Event loop latency 0.00053 s
simulator-1  | 2026-03-24 15:49:59,521 [INFO] simulator.main: Event loop latency 0.00063 s
simulator-1  | 2026-03-24 15:50:00,522 [INFO] simulator.main: Event loop latency 0.00151 s
simulator-1  | 2026-03-24 15:50:01,521 [INFO] simulator.main: Event loop latency 0.00047 s
simulator-1  | 2026-03-24 15:50:02,521 [INFO] simulator.main: Event loop latency 0.00113 s
simulator-1  | 2026-03-24 15:50:03,521 [INFO] simulator.main: Event loop latency 0.00118 s
simulator-1  | 2026-03-24 15:50:04,521 [INFO] simulator.main: Event loop latency 0.00105 s
simulator-1  | 2026-03-24 15:50:05,522 [INFO] simulator.main: Event loop latency 0.00193 s
simulator-1  | 2026-03-24 15:50:06,521 [INFO] simulator.main: Event loop latency 0.00059 s
simulator-1  | 2026-03-24 15:50:07,522 [INFO] simulator.main: Event loop latency 0.00192 s
simulator-1  | 2026-03-24 15:50:08,521 [INFO] simulator.main: Event loop latency 0.00077 s
simulator-1  | 2026-03-24 15:50:09,522 [INFO] simulator.main: Event loop latency 0.00191 s
simulator-1  | 2026-03-24 15:50:10,521 [INFO] simulator.main: Event loop latency 0.00081 s
simulator-1  | 2026-03-24 15:50:11,520 [INFO] simulator.main: Event loop latency 0.00027 s
simulator-1  | 2026-03-24 15:50:12,521 [INFO] simulator.main: Event loop latency 0.00083 s
simulator-1  | 2026-03-24 15:50:13,521 [INFO] simulator.main: Event loop latency 0.00115 s
simulator-1  | 2026-03-24 15:50:14,521 [INFO] simulator.main: Event loop latency 0.00095 s
simulator-1  | 2026-03-24 15:50:15,521 [INFO] simulator.main: Event loop latency 0.00070 s
simulator-1  | 2026-03-24 15:50:16,520 [INFO] simulator.main: Event loop latency 0.00026 s
simulator-1  | 2026-03-24 15:50:17,520 [INFO] simulator.main: Event loop latency 0.00021 s
simulator-1  | 2026-03-24 15:50:17,560 [INFO] simulator.engine.world_engine: State synced to PostgreSQL (200 rooms)
simulator-1  | 2026-03-24 15:50:18,521 [INFO] simulator.main: Event loop latency 0.00047 s
simulator-1  | 2026-03-24 15:50:19,520 [INFO] simulator.main: Event loop latency 0.00027 s
simulator-1  | 2026-03-24 15:50:20,521 [INFO] simulator.main: Event loop latency 0.00121 s
simulator-1  | 2026-03-24 15:50:21,521 [INFO] simulator.main: Event loop latency 0.00140 s
simulator-1  | 2026-03-24 15:50:22,522 [INFO] simulator.main: Event loop latency 0.00149 s
simulator-1  | 2026-03-24 15:50:23,521 [INFO] simulator.main: Event loop latency 0.00071 s
simulator-1  | 2026-03-24 15:50:24,520 [INFO] simulator.main: Event loop latency 0.00038 s
simulator-1  | 2026-03-24 15:50:25,521 [INFO] simulator.main: Event loop latency 0.00074 s
simulator-1  | 2026-03-24 15:50:26,522 [INFO] simulator.main: Event loop latency 0.00201 s
simulator-1  | 2026-03-24 15:50:27,522 [INFO] simulator.main: Event loop latency 0.00152 s
simulator-1  | 2026-03-24 15:50:28,520 [INFO] simulator.main: Event loop latency 0.00030 s
simulator-1  | 2026-03-24 15:50:29,521 [INFO] simulator.main: Event loop latency 0.00107 s
simulator-1  | 2026-03-24 15:50:30,521 [INFO] simulator.main: Event loop latency 0.00069 s
simulator-1  | 2026-03-24 15:50:31,521 [INFO] simulator.main: Event loop latency 0.00103 s
simulator-1  | 2026-03-24 15:50:32,520 [INFO] simulator.main: Event loop latency 0.00024 s
simulator-1  | 2026-03-24 15:50:33,520 [INFO] simulator.main: Event loop latency 0.00038 s
simulator-1  | 2026-03-24 15:50:34,522 [INFO] simulator.main: Event loop latency 0.00157 s
simulator-1  | 2026-03-24 15:50:35,521 [INFO] simulator.main: Event loop latency 0.00088 s
simulator-1  | 2026-03-24 15:50:36,520 [INFO] simulator.main: Event loop latency 0.00041 s
simulator-1  | 2026-03-24 15:50:37,520 [INFO] simulator.main: Event loop latency 0.00017 s
simulator-1  | 2026-03-24 15:50:37,529 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f04-r405", "seconds_silent": 66.23, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:50:38,521 [INFO] simulator.main: Event loop latency 0.00071 s
simulator-1  | 2026-03-24 15:50:39,521 [INFO] simulator.main: Event loop latency 0.00072 s
simulator-1  | 2026-03-24 15:50:40,521 [INFO] simulator.main: Event loop latency 0.00054 s
simulator-1  | 2026-03-24 15:50:41,521 [INFO] simulator.main: Event loop latency 0.00073 s
simulator-1  | 2026-03-24 15:50:42,521 [INFO] simulator.main: Event loop latency 0.00113 s
simulator-1  | 2026-03-24 15:50:43,520 [INFO] simulator.main: Event loop latency 0.00019 s
simulator-1  | 2026-03-24 15:50:44,521 [INFO] simulator.main: Event loop latency 0.00072 s
